league_id_x,draft_id,draft_order,scoring_type,season,type,status,rounds,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_super_flex,slots_bn,league_id_y,draft_slot,pick_no,is_keeper,player_first,player_last,player_id,position,roster_id,picked_by
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,6,126,,Bryce,Young,9228,QB,6,462387382671372288
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,7,127,,DeAndre,Hopkins,1426,WR,7,1133886035961888768
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,8,128,,T.J.,Hockenson,5844,TE,8,730612956580179968
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,9,129,,San Francisco,49ers,SF,DEF,9,999843782688370688
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,10,130,,Cole,Kmet,6826,TE,10,732239679235190784
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,10,131,,Ezekiel,Elliott,3164,RB,10,732239679235190784
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,9,132,,Trey,Benson,11589,RB,9,999843782688370688
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,8,133,,Tyler,Lockett,2374,WR,8,730612956580179968
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,7,134,,Jerome,Ford,8143,RB,7,1133886035961888768
1134603542842511360,1134603543677124608,"{'1016534587410915328': 5, '1133886035961888768': 7, '1134576781362872320': 4, '1134602288040972288': 2, '462387382671372288': 6, '730612956580179968': 8, '732239679235190784': 10, '881749207281934336': 3, '999222329567686656': 1, '999843782688370688': 9}",2qb,2024,snake,complete,21,1,2,2,1,2,1,10,1134603542842511360,6,135,,Drake,Maye,11564,QB,6,462387382671372288
