points,players,roster_id,custom_points,matchup_id,starters,starters_points,players_points,league_id,week
185.06,"['10937', '11563', '11583', '11584', '11618', '4137', '4943', '4984', '5045', '5859', '5927', '5947', '6813', '6819', '6865', '7562', '8110', '8126', '8134', '8151', '9225', '9226', 'DAL']",1,,4.0,"['4984', '6813', '9226', '8134', '6819', '8110', '7562', '4137', '4943', '10937', 'DAL']","[33.92, 46.0, 14.3, 19.2, 7.6, 15.5, 13.3, 8.0, 23.24, 5.0, -1.0]","{'10937': 5.0, '11563': 26.84, '11583': 0.0, '11584': 15.9, '11618': 1.6, '4137': 8.0, '4943': 23.24, '4984': 33.92, '5045': 13.8, '5859': 0.0, '5927': 25.0, '5947': 21.2, '6813': 46.0, '6819': 7.6, '6865': 5.1, '7562': 13.3, '8110': 15.5, '8126': 13.1, '8134': 19.2, '8151': 0.0, '9225': 1.9, '9226': 14.3, 'DAL': -1.0}",1134603542842511360,3
151.1,"['11637', '2197', '3286', '3451', '4037', '4950', '4988', '5849', '5870', '5970', '6130', '6786', '6960', '7021', '7523', '7553', '7594', '8131', '8138', '8142', '8205', '9221', 'HOU']",2,,1.0,"['5849', '9221', '8138', '6786', '4037', '7553', '6130', '3286', '7523', '3451', 'HOU']","[18.28, 26.3, 24.2, 8.7, 17.3, 7.9, 28.8, 4.2, 11.42, 0.0, 4.0]","{'11637': 9.4, '2197': 3.6, '3286': 4.2, '3451': 0.0, '4037': 17.3, '4950': 15.9, '4988': 0.0, '5849': 18.28, '5870': 23.44, '5970': 6.5, '6130': 28.8, '6786': 8.7, '6960': 5.0, '7021': 12.6, '7523': 11.42, '7553': 7.9, '7594': 46.4, '8131': 1.4, '8138': 24.2, '8142': 5.4, '8205': 0.0, '9221': 26.3, 'HOU': 4.0}",1134603542842511360,3
134.06,"['10859', '11566', '11575', '1166', '1945', '2749', '3164', '4017', '4039', '4993', '5967', '6790', '7090', '7547', '8112', '8146', '8148', '8161', '9488', 'ATL', 'LAC']",3,,4.0,"['11566', '6790', '5967', '7547', '8146', '10859', '8112', '8148', '1166', '0', 'LAC']","[34.06, 12.7, 8.9, 20.5, 14.3, 5.6, 18.7, 1.7, 12.6, 0.0, 5.0]","{'10859': 5.6, '11566': 34.06, '11575': 12.8, '1166': 12.6, '1945': 7.0, '2749': 0.0, '3164': 3.7, '4017': 18.44, '4039': 0.0, '4993': 8.7, '5967': 8.9, '6790': 12.7, '7090': 14.6, '7547': 20.5, '8112': 18.7, '8146': 14.3, '8148': 1.7, '8161': 28.38, '9488': 6.9, 'ATL': 2.0, 'LAC': 5.0}",1134603542842511360,3
153.5,"['11533', '11564', '11570', '11582', '11596', '11604', '11623', '11624', '11625', '11630', '11631', '11834', '3198', '4227', '5012', '6804', '8130', '8676', '9228', '9502', '9509', '9511', '9758', '9997', '9999', 'DET']",4,,1.0,"['9758', '9509', '3198', '9997', '9502', '8130', '5012', '11624', '9999', '4227', 'DET']","[13.3, 21.2, 50.9, 5.8, 11.2, 5.5, 0.0, 6.5, 20.1, 12.0, 7.0]","{'11533': 12.0, '11564': 3.08, '11570': 0.0, '11582': 16.9, '11596': 0.0, '11604': 7.1, '11623': 5.8, '11624': 6.5, '11625': 0.0, '11630': 0.0, '11631': 9.8, '11834': 0.0, '3198': 50.9, '4227': 12.0, '5012': 0.0, '6804': 0.0, '8130': 5.5, '8676': 0.0, '9228': 0.0, '9502': 11.2, '9509': 21.2, '9511': 0.0, '9758': 13.3, '9997': 5.8, '9999': 20.1, 'DET': 7.0}",1134603542842511360,3
195.78,"['11560', '11581', '11628', '11635', '11638', '1234', '2216', '2309', '3214', '3294', '4034', '4663', '4666', '5248', '5846', '5848', '5892', '8111', '8154', '9481', 'PIT']",5,,2.0,"['11560', '4034', '5892', '11628', '2216', '9481', '5846', '2309', '3294', '4666', 'PIT']","[25.82, 0.0, 40.7, 17.4, 3.7, 1.3, 25.4, 27.6, 36.86, 7.0, 10.0]","{'11560': 25.82, '11581': 0.0, '11628': 17.4, '11635': 7.4, '11638': 0.0, '1234': 0.0, '2216': 3.7, '2309': 27.6, '3214': 2.9, '3294': 36.86, '4034': 0.0, '4663': 15.2, '4666': 7.0, '5248': 2.4, '5846': 25.4, '5848': 0.0, '5892': 40.7, '8111': 9.7, '8154': 18.7, '9481': 1.3, 'PIT': 10.0}",1134603542842511360,3
168.08,"['11586', '11589', '11626', '11647', '1264', '1466', '3163', '4068', '4217', '4892', '6794', '6803', '6845', '7528', '7564', '8136', '96', '9754', '9757', 'PHI', 'SF']",6,,3.0,"['3163', '8136', '7528', '6794', '7564', '1466', '6803', '6845', '4892', '1264', 'SF']","[17.06, 11.5, 22.6, 20.1, 34.8, 7.0, 9.8, 26.7, 12.52, 3.0, 3.0]","{'11586': 0.0, '11589': 1.8, '11626': 6.2, '11647': 0.0, '1264': 3.0, '1466': 7.0, '3163': 17.06, '4068': 6.4, '4217': 0.0, '4892': 12.52, '6794': 20.1, '6803': 9.8, '6845': 26.7, '7528': 22.6, '7564': 34.8, '8136': 11.5, '96': 25.54, '9754': 12.4, '9757': 0.0, 'PHI': 7.0, 'SF': 3.0}",1134603542842511360,3
169.78,"['10236', '11439', '11559', '11620', '11643', '1426', '3321', '4018', '4199', '4983', '5022', '6011', '6768', '7543', '7591', '7839', '8137', '8143', '8167', '9229', 'NYJ']",7,,5.0,"['9229', '7543', '4018', '3321', '4983', '10236', '4199', '11620', '8137', '7839', 'NYJ']","[11.08, 18.0, 0.0, 7.0, 15.7, 13.1, 40.3, 28.9, 10.7, 8.0, 17.0]","{'10236': 13.1, '11439': 10.9, '11559': 0.0, '11620': 28.9, '11643': 2.7, '1426': 19.3, '3321': 7.0, '4018': 0.0, '4199': 40.3, '4983': 15.7, '5022': 32.0, '6011': 16.46, '6768': 0.0, '7543': 18.0, '7591': 25.4, '7839': 8.0, '8137': 10.7, '8143': 15.0, '8167': 8.7, '9229': 11.08, 'NYJ': 17.0}",1134603542842511360,3
249.18,"['10229', '2374', '2449', '4035', '4066', '4147', '4149', '421', '4881', '5844', '5857', '6783', '6801', '7042', '8139', '8144', '8155', '8183', '8230', '8408', '9756', 'CLE']",8,,3.0,"['4881', '8155', '4035', '8144', '2449', '5857', '10229', '8408', '8183', '7042', 'CLE']","[32.98, 26.3, 33.7, 20.6, 19.92, 12.0, 34.6, 20.3, 30.78, 11.0, 7.0]","{'10229': 34.6, '2374': 9.6, '2449': 19.92, '4035': 33.7, '4066': 0.0, '4147': 10.0, '4149': 1.4, '421': 12.84, '4881': 32.98, '5844': 0.0, '5857': 12.0, '6783': 8.7, '6801': 6.9, '7042': 11.0, '8139': 8.4, '8144': 20.6, '8155': 26.3, '8183': 30.78, '8230': 4.8, '8408': 20.3, '9756': 0.0, 'CLE': 7.0}",1134603542842511360,3
168.8,"['11619', '1373', '2133', '4033', '4144', '4381', '4981', '5850', '5872', '5937', '6770', '6806', '6904', '7569', '7611', '7670', '8150', '8259', '9224', '9508', 'KC']",9,,5.0,"['6904', '8150', '7611', '2133', '7569', '4144', '6806', '5850', '6770', '8259', 'KC']","[21.94, 48.6, 3.3, 8.0, 12.6, 3.8, 15.9, 12.8, 31.86, 4.0, 6.0]","{'11619': 3.3, '1373': 17.36, '2133': 8.0, '4033': 0.0, '4144': 3.8, '4381': 0.0, '4981': 1.9, '5850': 12.8, '5872': 0.0, '5937': 31.2, '6770': 31.86, '6806': 15.9, '6904': 21.94, '7569': 12.6, '7611': 3.3, '7670': 0.0, '8150': 48.6, '8259': 4.0, '9224': 12.4, '9508': 11.1, 'KC': 6.0}",1134603542842511360,3
148.38,"['10222', '11627', '11632', '11655', '1479', '2028', '4046', '4195', '4866', '5001', '6797', '6945', '7525', '7526', '7588', '7600', '8132', '8228', '9493', '9753', 'BAL']",10,,2.0,"['4046', '4866', '7588', '9493', '11632', '5001', '7526', '7525', '6797', '4195', 'BAL']","[23.38, 47.1, 8.6, 0.0, 29.2, 3.1, 6.6, 14.9, 9.5, 0.0, 6.0]","{'10222': 11.9, '11627': 3.1, '11632': 29.2, '11655': 8.5, '1479': 0.0, '2028': 9.98, '4046': 23.38, '4195': 0.0, '4866': 47.1, '5001': 3.1, '6797': 9.5, '6945': 9.2, '7525': 14.9, '7526': 6.6, '7588': 8.6, '7600': 7.3, '8132': 6.7, '8228': 2.6, '9493': 0.0, '9753': 36.7, 'BAL': 6.0}",1134603542842511360,3
